Sales ID,Account,Date,Region,Sector,Item,Units
4000,The Conran Shop,01/04/2022,London,Retail,CAR70,32
4001,The Drinks Club,01/04/2022,London,Sub-Distributor / wholesale,CAM,11
4002,Jin Bo Law Skybar,01/04/2022,London,Bar,CAP,3
4003,Findlay Wines,01/04/2022,Devon,Retail,LAP,1
4004,Jin Bo Law Skybar,02/04/2022,London,Bar,CAR20,18
4005,MNKY HSE,02/04/2022,London,Night Club,CAR70,12
4006,Harvey Nichols Limited,02/04/2022,London,Retail,CAM,12
4007,Miraflores Bar and Lounge,02/04/2022,London,Restaurant,CAR70,3
4008,Brunswick Fine Wine and Spirits,02/04/2022,Brighton,Retail,CAR70,2
4009,Amazonico UK,03/04/2022,London,Restaurant,CAP,7
4010,Isabel,03/04/2022,London,Restaurant,CAR70,3
4011,Speciality Drinks Ltd,03/04/2022,London,Sub-Distributor / wholesale,CAU,1
4012,HT Drinks,04/04/2022,London,Cash & Carry,CAR70,180
4013,Treehouse,04/04/2022,London,Hotel,CAR70,26
4014,Zuma,04/04/2022,London,Restaurant,CAR70,12
4015,The Cadogan Arms,04/04/2022,London,Restaurant,CAR70,6
4016,Bankers Cat,05/04/2022,Leeds,Bar,CAR70,1
4017,1910 Cantina,05/04/2022,London,Restaurant,CAP,1
4018,Chiltern Firehouse,06/04/2022,London,Hotel,CAR70,30
4019,Townhouse 22,06/04/2022,London,Other,CAP,2
4020,Cactus Hound Bar,06/04/2022,Saint Leonards-on-sea,Restaurant,CAR70,1
4021,The Cellar Tasting House & Wine Merchant,06/04/2022,Lymington,Retail,CAR70,1
4022,Jeru London,06/04/2022,London,Restaurant,CAR70,1
4023,TAPE LONDON,07/04/2022,London,Night Club,CAR70,129
4024,Park Chinois,07/04/2022,London,Restaurant,CAR70,21
4025,Sumosan Twiga,07/04/2022,London,Restaurant,CAR70,18
4026,Sexy Fish,07/04/2022,London,Restaurant,CAR70,1
4027,The London Reign,08/04/2022,London,Night Club,CAR70,48
4028,Isabel,08/04/2022,London,Restaurant,CAR70,4
4029,Iris Avenue,08/04/2022,London,Other,CAP,1
4030,Townhouse 22,08/04/2022,London,Other,CAM,1
4031,Rita's Cocktail Bar,08/04/2022,Southampton,Restaurant,CAA,1
4032,Nusr-ET Steakhouse,08/04/2022,London,Restaurant,CAR70,1
4033,Muccis,09/04/2022,London,Restaurant,CAR70,5
4034,Cafe Pacifico,09/04/2022,London,Restaurant,CAR70,1
4035,Harry's Bar,10/04/2022,London,Bar,CAR70,8
4036,Oscars,10/04/2022,London,Night Club,CAR70,6
4037,Canopy By Hilton,10/04/2022,London,Hotel,CAR70,2
4038,Sushi Samba,10/04/2022,London,Restaurant,CAP,2
4039,Sophie's Soho,10/04/2022,London,Restaurant,CAA,1
4040,Harvey Nichols Limited,11/04/2022,London,Retail,CAR70,74
4041,Tramp,11/04/2022,London,Other,CAP,30
4042,Inca,11/04/2022,London,Night Club,CAR70,12
4043,Hedonism Drinks Ltd,11/04/2022,London,Retail,GUERRERO,6
4044,Speciality Drinks Ltd,11/04/2022,London,Sub-Distributor / wholesale,GUERRERO,4
4045,"The Standard Hotel, London",11/04/2022,London,Hotel,CAM,1
4046,Beaverbrook Townhouse,12/04/2022,London,Hotel,CAP,2
4047,The Vineyard Belfast,12/04/2022,Belfast,Retail,CAP,2
4048,Nusr-ET Steakhouse,12/04/2022,London,Restaurant,CAP,2
4049,Hammonds Of Knutsford Plc,13/04/2022,Manchester,Sub-Distributor / wholesale,CAU,6
4050,KOL,13/04/2022,London,Restaurant,CAR70,2
4051,5 Hertford Street,13/04/2022,London,Other,CAM,2
4052,Tattu Manchester,13/04/2022,Manchester,Restaurant,CAR70,2
4053,Nomad,13/04/2022,London,Hotel,CAR70,1
4054,Market Cat,13/04/2022,York,Bar,CAR70,1
4055,Amano,13/04/2022,London,Hotel,CAP,1
4056,34 Mayfair,14/04/2022,London,Restaurant,CAR70,3
4057,Drink with Sasha,14/04/2022,London,Sub-Distributor / wholesale,CAM,2
4058,Audemars Piguet,14/04/2022,London,Other,CAM,1
4059,Tabu London,15/04/2022,London,Night Club,CAR70,42
4060,DrinkSupermaket.com Ltd,15/04/2022,London,Online Shop,CAP,31
4061,The Blues Kitchen,15/04/2022,London,Restaurant,CAR70,2
4062,OBLIX,15/04/2022,London,Restaurant,CAR70,2
4063,German Gymnasium,15/04/2022,London,Restaurant,CAP,1
4064,Amathus Drinks PLC,16/04/2022,London,Retail,CAP,36
4065,Belgabar,16/04/2022,Leeds,Bar,CAR70,1
4066,HILTON LONDON PARK LANE 2,17/04/2022,London,Hotel,CAR70,10
4067,Roka Canary Wharf,17/04/2022,London,Restaurant,CAR70,8
4068,Alfred Dunhill Club,17/04/2022,London,Other,CAR70,3
4069,Electshow Ltd,17/04/2022,London,Night Club,CAR70,2
4070,Mezcalito Chelsea,17/04/2022,London,Restaurant,CAR70,2
4071,La Petite Maison,17/04/2022,London,Restaurant,CAA,1
4072,Bagatelle,18/04/2022,London,Restaurant,CAR70,8
4073,Harvey Nichols Limited,18/04/2022,London,Retail,LAP,6
4074,Bagatelle,18/04/2022,London,Restaurant,CAR1.75,2
4075,The Soho Hotel,18/04/2022,London,Hotel,CAR70,2
4076,Cuckoo Club,19/04/2022,London,Night Club,CAR70,60
4077,Maddox Club,19/04/2022,London,Night Club,CAR70,60
4078,The Drinks Club,19/04/2022,London,Sub-Distributor / wholesale,CAA,10
4079,Annabel's,19/04/2022,London,Other,CAU,6
4080,Laytons,19/04/2022,London,Retail,CAM,6
4081,Beaverbrook Townhouse,19/04/2022,London,Hotel,CAR70,2
4082,Novikov Restaurant & Bar,20/04/2022,London,Restaurant,CAR70,4
4083,Sir Drinksalot Ltd,21/04/2022,London,Online Shop,CAR70,36
4084,Tramp,21/04/2022,London,Other,CAR70,36
4085,Nickolls & Perks,21/04/2022,Birmingham,Retail,CAP,6
4086,Tattu Edinburgh,21/04/2022,Edinburgh,Restaurant,CAR70,1
4087,Park Chinois,21/04/2022,London,Restaurant,CAM,1
4088,Bagatelle,22/04/2022,London,Restaurant,CAR70,36
4089,The Secret Lounge,22/04/2022,London,Bar,CAR70,12
